Average m/z,Average rt,Average sn,Average score,example,ex_1,ex_2,ex_3
102.0142,0.45,2.053999900817871,1.0,379178.34,0.0,0.0,0.0
104.99327,0.637,5000.0,1.0,0.0,7830790.0,7705347.0,7648624.5
113.965,21.18,5000.0,1.0,580375.25,0.0,0.0,0.0
121.0509,0.79,5000.0,1.0,404855.34,0.0,0.0,0.0
121.0509,5.95,2.0820000171661377,1.0,373235.0,0.0,0.0,0.0
125.986,5.78,36.20399856567383,1.0,13562965.0,0.0,0.0,0.0
125.986,6.35,7.125999927520752,1.0,13414194.0,0.0,0.0,0.0
125.986,7.26,47.72999954223633,1.0,13362904.0,0.0,0.0,0.0
125.9873,8.39,66.63400268554688,1.0,13790368.0,0.0,0.0,0.0
125.9873,7.86,21.99799919128418,1.0,13808988.0,0.0,0.0,0.0
125.9885,20.95,4.229000091552734,1.0,777809.6,0.0,0.0,0.0
126.9725,21.23,5000.0,1.0,1723215.4,0.0,0.0,0.0
128.9882,21.17,5000.0,1.0,595679.2,0.0,0.0,0.0
134.07173,4.983,5000.0,1.0,0.0,1682218.4,1669552.6,1539730.2
135.1021,3.53,2.7769999504089355,1.0,1877392.2,0.0,0.0,0.0
135.1021,3.02,1.9700000286102295,1.0,2950232.8,0.0,0.0,0.0
140.00313,21.077,5000.0,1.0,0.0,703432.8,694920.4,607593.0
141.9593,21.65,7.7729997634887695,1.0,25881364.0,0.0,0.0,0.0
141.9593,8.67,26.402000427246094,1.0,17957560.0,0.0,0.0,0.0
141.96069,21.04,1.5210000276565552,1.0,4547448.5,0.0,0.0,0.0
142.15883,5.347,5000.0,1.0,0.0,12628348.0,6370744.0,13282105.0
142.96651,21.25,5000.0,1.0,1809028.4,0.0,0.0,0.0
143.9592,20.87,5000.0,1.0,584679.9,0.0,0.0,0.0
152.0714,7.34,5000.0,1.0,567040.75,0.0,0.0,0.0
157.08389,3.08,1.9789999723434448,1.0,2516024.5,0.0,0.0,0.0
158.0023,21.83,3.7309999465942383,1.0,2993999.5,0.0,0.0,0.0
158.0023,0.13,5000.0,1.0,2876443.5,0.0,0.0,0.0
158.0023,1.77,2.058000087738037,1.0,2365017.5,0.0,0.0,0.0
158.0023,0.91,2.4800000190734863,1.0,6386481.0,0.0,0.0,0.0
158.1541,7.74,5000.0,1.0,661781.3,0.0,0.0,0.0
165.08891,4.99,5000.0,1.0,0.0,599147.44,484908.6,595161.1
168.9832,20.9,5000.0,1.0,986687.6,0.0,0.0,0.0
172.9771,21.27,23.506000518798828,1.0,6573405.5,0.0,0.0,0.0
174.18604,6.19,5000.0,1.0,0.0,25805936.0,25672820.0,25615884.0
177.08923,6.693,5000.0,1.0,0.0,9270457.0,9290993.0,9152437.0
180.9796,0.67,5000.0,1.0,0.0,0.0,378338.8,0.0
182.11837,10.31,5000.0,1.0,0.0,829378.1,838020.5,1026650.56
182.98399,21.12,8.34000015258789,1.0,1647603.5,0.0,0.0,0.0
184.10001,4.26,5000.0,1.0,674485.5,0.0,0.0,0.0
184.10001,6.85,5000.0,1.0,3733995.8,0.0,0.0,0.0
184.98579,20.84,5000.0,1.0,974634.25,0.0,0.0,0.0
185.10609,4.26,5000.0,1.0,2618989.5,0.0,0.0,0.0
185.10609,6.85,5000.0,1.0,1606594.9,0.0,0.0,0.0
186.22213,5.333,5000.0,1.0,0.0,3388690.5,3425524.0,3301452.8
186.99593,0.667,1670.17431640625,1.0,0.0,3260221.0,2656004.0,3450127.2
195.1002,4.99,5000.0,1.0,0.0,7606324.0,7409897.5,7521926.5
196.13409,4.99,5000.0,1.0,953478.75,0.0,0.0,0.0
199.0863,7.21,5000.0,1.0,1911793.5,0.0,0.0,0.0
199.18284,7.087,3336.9430338541665,1.0,0.0,5204006.0,5022241.5,5214475.5
200.23796,4.64,5000.0,1.0,0.0,1333512.5,1342226.1,2179266.0
205.1606,5.167,4.719333330790202,1.0,0.0,1670808.6,694603.25,917205.1
207.10022,6.697,5000.0,1.0,0.0,9804445.0,9694451.0,9650794.0
207.14996,4.687,5000.0,1.0,0.0,1010025.75,901093.6,986160.44
208.13319,7.34,5000.0,1.0,1834895.9,0.0,0.0,0.0
212.12012,4.263,5000.0,1.0,0.0,14837495.0,14720163.0,14744470.0
214.25413,4.72,5000.0,1.0,0.0,37759304.0,37259960.0,37403950.0
215.25704,4.72,5000.0,1.0,0.0,4990120.0,4927459.0,4947099.5
217.10754,4.547,5000.0,1.0,0.0,1102971.1,976639.9,984394.3
219.15068,7.543,5000.0,1.0,0.0,1519710.8,1447390.1,1453863.4
223.15487,4.233,5000.0,1.0,0.0,736456.8,1073340.6,969632.6
224.13143,8.48,3335.3505859375,1.0,0.0,584123.75,593617.7,593123.7
225.19633,8.417,5000.0,1.0,0.0,2315188.2,4382263.0,2583222.5
226.1238,8.217,5000.0,1.0,0.0,3569633.8,3636178.0,3538485.2
228.26849,4.95,5000.0,1.0,0.0,7603002.5,9916284.0,11518397.0
229.18567,7.837,5000.0,1.0,0.0,3428883.0,6402844.0,4953845.0
229.27277,4.947,3335.9697265625,1.0,0.0,1484092.8,1668119.8,1674017.2
236.07562,6.123,5000.0,1.0,0.0,2037329.6,2069093.0,1937151.9
238.16703,3.92,5000.0,1.0,0.0,1094598.8,866479.94,966756.75
239.16119,9.71,2.924999952316284,1.0,579947.25,0.0,0.0,0.0
242.27714,5.223,3.802000045776367,1.0,0.0,301102530.0,212834430.0,327286660.0
242.41766,5.343,1675.9420572916667,1.0,0.0,7680442.5,26210460.0,11612405.0
243.28223,5.24,1670.7596028645833,1.0,0.0,107080190.0,105314700.0,106427020.0
243.42582,5.343,5000.0,1.0,0.0,9877672.0,9725097.0,5716591.5
244.29146,5.347,5000.0,1.0,0.0,10646740.0,4377150.0,11822764.0
251.17887,5.223,4.289999643961589,1.0,0.0,1042330.25,967399.4,1227188.9
256.30084,5.753,5000.0,1.0,0.0,3359950.0,3335716.2,3333604.0
257.16479,9.53,5000.0,1.0,717292.1,0.0,0.0,0.0
258.27938,4.707,5000.0,1.0,0.0,1286796.4,1653560.2,5526595.5
261.2441,13.733,5000.0,1.0,0.0,607723.4,824132.25,1048055.75
262.98364,0.64,3336.2356770833335,1.0,0.0,2723677.5,2801816.8,2703943.8
266.17944,8.472,5000.0,1.0,1227150.1,21205912.0,21086110.0,21032886.0
267.18649,6.83,5000.0,1.0,1224640.2,0.0,0.0,0.0
268.19312,6.83,5000.0,1.0,1498220.1,0.0,0.0,0.0
269.00008,0.64,3336.3671875,1.0,0.0,5402791.5,5187726.5,4402736.5
269.2034,6.85,5000.0,1.0,24774370.0,0.0,0.0,0.0
269.34341,6.85,5000.0,1.0,1127786.8,0.0,0.0,0.0
270.20389,6.85,5000.0,1.0,4477117.0,0.0,0.0,0.0
271.14622,5.22,1672.2843424479167,1.0,0.0,16540874.0,17991604.0,16886612.0
272.15495,4.99,5000.0,1.0,0.0,2627136.2,2636981.0,1892588.8
275.17619,5.55,5000.0,1.0,0.0,1420424.9,1403754.8,1511105.4
275.17619,10.317,5000.0,1.0,0.0,6126638.5,9831533.0,25396288.0
276.18054,10.303,5000.0,1.0,0.0,1569240.0,1448858.1,1562331.8
276.24593,5.607,5000.0,1.0,0.0,941900.8,841238.6,735182.0
277.18119,5.18,6.422666549682617,1.0,0.0,3102442.8,3406195.5,3668591.2
277.19043,8.327,1668.0979817708333,1.0,0.0,3950863.5,4374668.5,4699429.0
278.18457,5.177,4.7636667887369795,1.0,0.0,1295721.5,1024320.2,1253635.2
279.16178,12.063,5000.0,1.0,0.0,2274515.0,2189912.0,2164724.8
282.19307,4.213,5000.0,1.0,0.0,2117103.5,1989952.0,2091658.8
283.15413,6.7,5000.0,1.0,0.0,11767309.0,11509981.0,11511210.0
283.18213,8.472,5000.0,1.0,8272780.5,127872310.0,126911450.0,127934160.0
283.2476,8.373,1668.7229817708333,1.0,0.0,1497968.9,2272567.8,1707842.4
283.32975,8.473,5000.0,1.0,0.0,5125186.5,5079948.0,5163264.0
284.18637,8.467,5000.0,1.0,1330082.2,25552334.0,25339046.0,25411096.0
284.20658,4.51,5000.0,1.0,0.0,1234596.8,1720813.6,1555794.1
290.17997,9.763,3335.6627604166665,1.0,0.0,1674646.4,1565344.9,1004960.4
296.2078,4.737,5000.0,1.0,0.0,840225.25,841110.06,725108.94
298.34819,15.197,5000.0,1.0,0.0,4020364.5,4116060.2,2369402.5
299.17731,11.01,5000.0,1.0,10376234.0,0.0,0.0,0.0
299.17731,5.3,5000.0,1.0,515665.1,0.0,0.0,0.0
299.17771,7.103,5000.0,1.0,0.0,2364627.0,1492108.6,2443099.5
300.1813,11.01,5000.0,1.0,2068125.9,0.0,0.0,0.0
303.17631,4.993,1669.1142578125,1.0,0.0,4013723.0,7249945.0,6911282.0
305.27134,13.84,5000.0,1.0,0.0,5146532.0,5041910.5,5107119.5
306.16099,7.187,1672.5026041666667,1.0,0.0,1679776.8,1687655.4,1938720.2
307.21291,5.797,5000.0,1.0,0.0,2565549.5,2429996.5,1556296.0
309.22864,6.12,5000.0,1.0,0.0,3801037.8,3673134.0,3566916.5
313.19199,5.54,5000.0,1.0,544325.0,0.0,0.0,0.0
315.17904,5.647,5000.0,1.0,0.0,9912098.0,9611819.0,9675793.0
322.2961,13.84,5000.0,1.0,0.0,5053491.5,9042068.0,7549945.5
325.22941,5.617,5000.0,1.0,0.0,2428926.8,2176689.2,2203099.8
331.28548,15.613,3339.2037760416665,1.0,0.0,3623089.8,2160032.5,3296426.0
333.22921,10.313,5000.0,1.0,0.0,3990044.8,6191757.0,15373968.0
334.23376,10.307,5000.0,1.0,0.0,5171392.5,5013889.0,5031937.0
335.24467,8.3,5000.0,1.0,0.0,4245964.5,6688359.0,10130662.0
338.34271,17.188,5000.0,1.0,2778499.2,1078624.1,941663.3,622233.2
