Average m/z,Average rt,Average sn,Sample-T0,Sample-15min,Sample-30min,Sample-1h,Sample-2.5h,Sample-4h,Sample-6h
100.01391,19.315,2.9142225,271567.82,253389.67,253964.0533,210381.5,11694.94533,43703.815,33347.28667
100.01397,17.723,3.8601742,181919.3267,238582.41,368346.7867,260821.86,321300.5733,107147.3797,217524.7033
100.01401,18.572,3.6255202,397183.29,109388.2187,507371.06,116942.422,291988.4367,82991.91667,90705.08867
100.01402,16.828,3.4336398,138308.9367,128661.4357,273132.18,176959.1033,81405.48667,199444.5033,328527.6933
100.01432,20.1,2.9115555,55115.61667,113631.032,125013.8523,142348.9847,246281.7167,175741.56,133732.5967
100.01557,15.939,2.8768418,58160.52733,35940.57833,20368.845,45851.84333,62767.25167,51447.92133,108811.9117
100.0752,3.043,6.3751383,679630.73,505089.4333,547871.48,358120.3533,608439.75,304472.84,528302.7
100.07536,2.029,2.5865386,144200.65,138313.2307,398581.4233,69162.84667,85050.33,289431.3733,355214.1
100.07556,1.357,3.3003333,16437.52,0,163896.1333,0,16902.78133,0,15228.45333
100.07583,0.876,5.2514343,47193.77467,229592.8617,69045.76,75432.45667,71092.76767,49875.99833,116212.461
100.07614,3.551,4.8052273,728890.7633,288329.1467,883565.8667,569456.26,411323.9667,716591.46,298371.6133
100.07699,3.927,2.7311666,444582.2527,367532.4567,290362.852,341242.8833,289067.1053,143533.2433,219966.1
100.93443,21.325,175.88829,187915.0633,311647.66,196891.6567,256899.0833,160539.4833,200679.0433,155998.9633
100.93499,1.768,3.3655913,125978.065,33884.578,87642.93733,61454.70333,118464.0267,53219.70133,54646.335
100.93561,21.866,2.5346208,68165.962,54794.26533,55537.773,110249.3567,173649.6567,175092.91,148479.5087
100.95722,15.608,2.6848521,61881.99367,59119.93267,68407.038,77798.06467,118330.966,84595.597,99430.86433
100.9588,20.377,2.920571,225745.272,314880.0167,406005.17,189230.8833,117449.46,149502.8567,251412.4267
100.95928,19.513,4.8624616,472772.6,398903.7233,409494.0467,264156.64,119654.0833,129563.0987,327793.8633
100.9595,18.951,4.4105,419718.35,553514.78,300927.56,299424.6667,66153.44333,126660.7733,59473.22333
100.95961,16.938,3.0493336,43090.64433,37412.73133,88539.98467,163632.63,167371.0333,175097.9767,114741.7427
100.96011,18.491,4.5620003,338964.9,249570.4327,9093.108667,334204.6833,143637.13,166334.0133,200936.0407
100.96024,17.879,3.207423,179952.3,104588.6027,85720.97167,344280.5867,127752.78,66818.34333,103072.869
