Average m/z,Average rt,Average sn,Average score,/home/hack_summer/mass-suite/example_data/ex_2.mzM,/home/hack_summer/mass-suite/example_data/ex_1.mzM,/home/hack_summer/mass-suite/example_data/ex_3.mzM
100.11373,5.327,5000.0,1.0,2691146.2,2737783.5,2697826.8
102.12803,3.38,5000.0,1.0,1063193.6,1141902.2,1075335.4
104.99224,0.637,5000.0,1.0,3649295.0,8142624.0,4079120.5
134.0721,4.983,5000.0,1.0,2690466.2,2673406.0,2463699.0
140.003,21.077,5000.0,1.0,2215492.5,2231918.0,2196329.5
140.003,0.633,2.7629998,1.0,206680.7,204925.16,453926.75
142.15863,5.347,5000.0,1.0,6957220.0,7020520.0,13312190.0
149.02339,12.06,5000.0,1.0,658581.3,541829.5,617741.8
158.01387,21.07,5000.0,1.0,1653015.6,1659641.2,1612817.0
165.08861,4.99,5000.0,1.0,1962020.2,1107600.5,1957922.2
174.18562,6.19,5000.0,1.0,26304238.0,7677325.5,26344326.0
175.18834,6.187,5000.0,1.0,1074160.1,915735.2,1063126.5
177.0906,6.693,5000.0,1.0,5420036.5,5522272.5,5406075.5
179.0374,1.013,3335.082,1.0,656715.06,1178025.0,1140461.0
180.12321,3.367,5000.0,1.0,1320830.9,1379291.5,1266265.2
180.97906,0.62,5000.0,1.0,1438186.9,2410719.0,1471411.2
182.11919,10.31,5000.0,1.0,3114478.0,3157345.2,3171968.5
184.2072,5.337,5000.0,1.0,2142227.0,2201421.0,2116308.5
186.2223,5.333,5000.0,1.0,4445001.5,4562884.0,4457560.0
186.99731,0.667,1670.1396,1.0,3384431.2,3319596.2,3497789.8
195.0977,4.99,5000.0,1.0,7733251.0,7879894.5,7792425.0
199.088,7.307,5000.0,1.0,743503.8,1963508.1,818171.44
199.18227,7.12,5000.0,1.0,3445137.5,5018545.0,6479306.5
200.16467,5.857,5000.0,1.0,1540915.5,1565836.9,1578187.1
200.23807,4.64,5000.0,1.0,2640448.0,3080609.5,2781896.5
205.16066,5.167,7.162333,1.0,750842.56,1393236.8,1357033.4
207.09962,6.697,5000.0,1.0,3396255.8,1878351.6,5672635.0
